symbol,timeframe,coverage_status,first_bar,last_bar,total_bars,bull_bars,bear_bars,neutral_bars,warmup_bars,current_regime
LTC/USD,1d,ok,2021-07-13 00:00:00+00:00,2026-07-19 00:00:00+00:00,1833,342,628,664,199,neutral
LTC/USD,1h,ok,2025-07-11 10:00:00+00:00,2026-07-19 23:00:00+00:00,8964,2003,2652,4110,199,bull
MA,1d,ok,2021-07-12 04:00:00+00:00,2026-07-17 04:00:00+00:00,1260,477,191,393,199,neutral
MA,1h,ok,2025-07-11 13:00:00+00:00,2026-07-20 19:00:00+00:00,1842,342,600,701,199,bull
MCD,1d,ok,2021-07-12 04:00:00+00:00,2026-07-17 04:00:00+00:00,1260,405,130,526,199,bear
MCD,1h,ok,2025-07-11 13:00:00+00:00,2026-07-20 19:00:00+00:00,1842,414,559,670,199,bear
MDLZ,1d,ok,2021-07-12 04:00:00+00:00,2026-07-17 04:00:00+00:00,1260,253,249,559,199,bull
MDLZ,1h,ok,2025-07-11 13:00:00+00:00,2026-07-20 19:00:00+00:00,1842,443,510,690,199,bull
MDT,1d,ok,2021-07-12 04:00:00+00:00,2026-07-17 04:00:00+00:00,1260,303,268,490,199,neutral
MDT,1h,ok,2025-07-11 13:00:00+00:00,2026-07-20 19:00:00+00:00,1842,510,535,598,199,bull
META,1d,ok,2021-07-12 04:00:00+00:00,2026-07-17 04:00:00+00:00,1260,487,234,340,199,neutral
META,1h,ok,2025-07-11 13:00:00+00:00,2026-07-20 19:00:00+00:00,1843,291,568,785,199,neutral
MO,1d,ok,2021-07-12 04:00:00+00:00,2026-07-17 04:00:00+00:00,1260,508,128,425,199,bull
